BBL,Boro,Block ,Lot,PHN,Street,Owner Name,Bldg ID,BIN,Units,Housing Type,Tax Class,Program,HPD AM Oversight,Comments,Community District,City Council District,Assembly District,State Senatorial District,Congressional District,ZIP Code,Census Tract
3026510049,3,2651,49,100,NEWEL STREET,100 NEWEL HOUSING DEVELOPMENT FUND CORP,344106,3066295,8,COOP,2,Article 8A Loan,,,301,33,50,26,12,11222,571
3034320023,3,3432,23,1000,DECATUR STREET,1000 Decatur Street HDFC,231576,3079632,3,COOP,1,Tenant Interim Lease (TIL),Mark Matthews,,304,37,55,18,8,11207,403
3012730001,3,1273,1,855,FRANKLIN AVENUE,1001 Progressive HDFC,296037,3033114,43,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,309,35,57,20,9,11225,325
3014840045,3,1484,45,1005,PUTNAM AVENUE,1005 Putnam Avenue HDFC,357638,3039735,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,303,41,55,18,8,11221,375
3033230068,3,3323,68,103,LINDEN STREET,101 Linden Street HDFC,327601,3076113,23,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,304,34,54,18,7,11221,417
3000510018,3,51,18,100,FRONT STREET,102-04 Front Street HDFC,296336,3000127,3,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,302,33,52,26,7,11201,21
3000510019,3,51,19,104,FRONT STREET,102-04 Front Street HDFC,296337,3000128,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,302,33,52,26,7,11201,21
3025120046,3,2512,46,1031,MANHATTAN AVENUE,1031 Manhattan Avenue HDFC,331440,3321437,7,COOP,2,Community Management Program (CMP),Mark Matthews,,301,33,50,18,12,11222,563
3011250059,3,1125,59,1031,PACIFIC STREET,1031 Pacific Street HDFC,349412,3027553,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,35,57,25,8,11238,305
3021690019,3,2169,19,106,DIVISION AVENUE,104 Division Avenue HDFC,233666,3059835,30,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,33,50,26,7,11211,535
3012870039,3,1287,39,1040,CARROLL STREET,1040 Carroll Street HDFC,217287,3033790,59,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,309,35,57,20,9,11225,325
3012120065,3,1212,65,1055,BERGEN STREET,1055 Bergen Street HDFC,208141,3030348,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,36,57,25,9,11216,315
3013900075,3,1390,75,1057,EASTERN PARKWAY,1057 Eastern Parkway HDFC,287500,3037342,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,35,56,20,9,11213,351
3017970005,3,1797,5,1059,BEDFORD AVENUE,1059 Bedford Avenue HDFC,205474,3050323,13,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,303,36,57,25,8,11216,243
3032960055,3,3296,55,107,BLEECKER STREET,107 Bleecker Street HDFC,210643,3075383,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,304,34,54,18,7,11221,419
3013960021,3,1396,21,1076,EASTERN PARKWAY,1076 Eastern Parkway HDFC,287505,3037546,19,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,309,35,43,20,9,11213,351
3021690021,3,2169,21,110,DIVISION AVENUE,108 Division Avenue HDFC,233667,3059836,30,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,33,50,26,7,11211,535
3030510013,3,3051,13,108,MESEROLE STREET,108 Meserole Street HDFC,336296,3071083,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,34,53,18,7,11206,505
3030970011,3,3097,11,108,SEIGEL STREET,108 Seigel Street HDFC,368729,3071456,22,COOP,2,Community Management Program (CMP),Kate Synak,,301,34,53,18,7,11206,491
3024960007,3,2496,7,1086,MANHATTAN AVENUE,1086 MANHATTAN AVENUE HOUSING DEVELOPMENT FUND CORPORATION,331475,3063840,8,RENTAL,2,Housing Trust Fund - State,,,301,33,50,18,12,11222,575
3033490005,3,3349,5,1087,BUSHWICK AVENUE,1087 Bushwick Avenue HDFC,215643,3076549,8,COOP,2,Community Management Program (CMP),Mark Matthews,,304,34,54,18,8,11221,399
3033490003,3,3349,3,1089,BUSHWICK AVENUE,1091 Bushwick Avenue HDFC,215645,3076548,16,COOP,2,Community Management Program (CMP),Mark Matthews,,304,34,54,18,8,11221,399
3033490001,3,3349,1,1095,BUSHWICK AVENUE,1095 Bushwick Avenue HDFC,215649,3076547,14,COOP,2,Community Management Program (CMP),Mark Matthews,,304,34,54,18,8,11221,399
3033230062,3,3323,62,109,LINDEN STREET,111 Linden Street HDFC,327608,3076111,16,COOP,2,Community Management Program (CMP),Ron Sinacori,,304,34,54,18,7,11221,417
3024170034,3,2417,34,111,SOUTH 3 STREET,111 South 3 Street HDFC,372083,3063103,36,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,34,50,18,7,11249,551
3024650011,3,2465,11,446,SOUTH 5 STREET,11-14 North Montrose Street HDFC,372488,3063628,35,RENTAL,2,Community Management Program (CMP),,,301,34,53,18,7,11211,527
3051540035,3,5154,35,440,WESTMINSTER ROAD,1115 DORCHESTER RD HOUSISNG DEVELOP FUND CORP,243039,3118625,28,COOP,2,Article 8A Loan,,,314,40,44,17,9,11218,526
3022970014,3,2297,14,112,BEDFORD AVENUE,112 Bedford Avenue HDFC,205511,3061605,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,33,50,26,12,11249,517
3012440025,3,1244,25,1125,STERLING PLACE,1125 Sterling Place HDFC,376277,3031706,24,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,36,43,25,9,11213,343
3033230060,3,3323,60,113,LINDEN STREET,115 Linden Street HDFC,327611,3076110,16,COOP,2,Community Management Program (CMP),Ron Sinacori,,304,34,54,18,7,11221,417
3021310026,3,2131,26,117,SOUTH 8 STREET,115-117 South 8 Street HDFC,372545,3059517,7,COOP,2,Community Management Program (CMP),Mark Matthews,,301,34,50,18,7,11249,549
3021310027,3,2131,27,115,SOUTH 8 STREET,115-117 South 8 Street HDFC,372544,3059518,12,COOP,2,Community Management Program (CMP),Mark Matthews,,301,34,50,18,7,11249,549
3012050020,3,1205,20,1152,PACIFIC STREET,1152 Pacific Street HDFC,349449,3029961,18,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,35,57,25,8,11216,221
3032410016,3,3241,16,1158,DE KALB AVENUE,1158 Dekalb Avenue HDFC,229892,3073750,8,COOP,2,Community Management Program (CMP),Ron Sinacori,,304,34,54,18,7,11221,393
3012820025,3,1282,25,1160,PRESIDENT STREET,1160 President Street HDFC,355155,3033527,28,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,309,35,43,20,9,11225,321
3023790030,3,2379,30,119,GRAND STREET,117-119 Grand Street HDFC,302487,3062595,8,COOP,2,Community Management Program (CMP),Mark Matthews,,301,34,50,18,7,11249,555
3033670039,3,3367,39,560,EVERGREEN AVENUE,1185 Putnam Avenue HDFC,290825,3076987,5,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,304,34,54,18,8,11221,399
3033040002,3,3304,2,12,BLEECKER STREET,12 Bleecker Street HDFC,210646,3075584,16,COOP,2,Community Management Program (CMP),Ron Sinacori,,304,34,54,18,7,11221,395
3003950006,3,395,6,12,ST MARKS PLACE,12 Saint Marks Place HDFC,375113,3006254,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,302,33,52,25,7,11217,127
3003850028,3,385,28,120,BERGEN STREET,120 Bergen Street HDFC,208222,3005794,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,302,33,52,25,7,11201,69
3066940046,3,6694,46,1212,OCEAN AVENUE,1212 Ocean Avenue HDFC,347186,3179159,48,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,314,45,42,21,9,11230,764
3012060026,3,1206,26,1228,PACIFIC STREET,1228-30 Pacific Street HDFC,349470,3029994,14,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,36,57,25,8,11216,315
3024300019,3,2430,19,346,BEDFORD AVENUE,124 South 3 Street HDFC,206302,3063248,26,COOP,2,Community Management Program (CMP),Ron Sinacori,,301,34,50,18,7,11249,551
3013540006,3,1354,6,125,SCHENECTADY AVENUE,125 Schenectady Avenue HDFC,367390,3035832,24,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,36,56,25,9,11213,309
3026170032,3,2617,32,127,GUERNSEY STREET,127 Guernsey Street HDFC,305092,3065513,8,COOP,2,Community Management Program (CMP),Kate Synak,,301,33,50,26,12,11222,561
3006680014,3,668,14,128,29 STREET,128 29 Street HDFC,146944,3009832,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,307,38,51,25,7,11232,101
3018520050,3,1852,50,129,MAC DONOUGH STREET,129 Macdonough Street HDFC,334372,3053383,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,303,36,56,25,8,11216,269
3023050008,3,2305,8,129,BEDFORD AVENUE,129-131 Bedford Avenue HDFC,807744,3324778,4,COOP,2,Community Management Program (CMP),Mark Matthews,,301,33,50,26,12,11211,517
3012080064,3,1208,64,1303,DEAN STREET,1299-1303 Dean Street HDFC,808064,3324466,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,36,56,25,8,11216,313
3030310046,3,3031,46,13 FRONT,SCHOLES STREET,13 Scholes Street HDFC,368199,0,3,COOP,1,Tenant Interim Lease (TIL),Mark Matthews,,301,34,53,18,7,11206,511
3012070028,3,1207,28,1304,PACIFIC STREET,1304-06 Pacific Street HDFC,349510,3030048,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,36,56,25,8,11216,315
3012070032,3,1207,32,1312,PACIFIC STREET,1312 Pacific Street HDFC,349515,3030051,4,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,36,56,25,8,11216,315
3003240021,3,324,21,15,STRONG PLACE,13-15 STRONG PLACE HSNG DEV FUND CORP,378346,3003896,16,COOP,2,,,,306,39,52,26,7,11231,67
3013770019,3,1377,19,1316,STERLING PLACE,1316 Sterling Place HDFC,376368,3036747,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,35,56,20,9,11213,353
3018520049,3,1852,49,133,MAC DONOUGH STREET,133 Macdonough Street HDFC,334375,3053382,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,303,36,56,25,8,11216,269
3019800056,3,1980,56,136,CAMBRIDGE PLACE,134-36 Cambridge Place HDFC,216609,3056725,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,302,35,57,25,8,11238,201
3013990029,3,1399,29,1346,EASTERN PARKWAY,1346 Eastern Parkway HDFC,287583,3037625,28,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,41,55,20,9,11233,359
3013720017,3,1372,17,1346,PARK PLACE,1346 Park Place HDFC,351509,3036486,27,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,36,56,25,9,11213,345
3021930053,3,2193,53,137,KEAP STREET,137 KEAP STREET HOUSING DEVELOPMENT CO INC,318847,3060132,8,RENTAL,2,,,OTP,301,33,50,26,7,11211,535
3012090059,3,1209,59,1387,DEAN STREET,1387 Dean Street HDFC,230860,3030169,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,36,56,25,8,11216,313
3045980016,3,4598,16,14,EAST 96 STREET,14 East 96 Street HDFC,284224,3099487,34,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,317,41,55,20,9,11212,884
3013610081,3,1361,81,1405,PROSPECT PLACE,1405 Prospect Place HDFC,356768,3036105,39,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,36,56,25,9,11213,347
3018520046,3,1852,46,141,MAC DONOUGH STREET,141  Mcdonough Street HDFC,334382,3053380,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,303,36,56,25,8,11216,269
3033230031,3,3323,31,144,GROVE STREET,144 Grove Street HDFC,304968,3076091,6,RENTAL,2,Community Management Program (CMP),,,304,34,54,18,7,11221,417
3024310036,3,2431,36,151,SOUTH 4 STREET,149 South 4 Street HDFC,372234,3063282,28,COOP,2,Community Management Program (CMP),Mark Matthews,,301,34,50,18,7,11211,551
3014710049,3,1471,49,1493,EASTERN PARKWAY EXTENSION,1493 Eastern Parkway HDFC,287632,3039462,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,316,41,55,20,9,11233,361
3023800033,3,2380,33,151,GRAND STREET,149-51 Grand Street HDFC,302513,3062626,6,COOP,2,Community Management Program (CMP),Mark Matthews,,301,34,50,18,7,11249,553
3024960060,3,2496,60,151,EAGLE STREET,151 Eagle Street HDFC,235175,3063864,8,RENTAL,2,Community Management Program (CMP),,,301,33,50,18,12,11222,575
3066000086,3,6600,86,1513,WEST 7 STREET,1513-15 West 7 Street HDFC,391639,3174381,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,311,44,47,17,10,11204,432
3012520080,3,1252,80,1516,BEDFORD AVENUE,1516 Bedford Avenue HDFC,205716,3032181,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,35,57,20,9,11216,219
3024310035,3,2431,35,153,SOUTH 4 STREET,153 South 4 Street HDFC,372236,3063281,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,34,50,18,7,11211,551
3014710075,3,1471,75,1530,EASTERN PARKWAY EXTENSION,1530-32 Eastern Parkway HDFC,287649,3039472,8,RENTAL,2,Community Management Program (CMP),,,316,41,55,20,9,11233,361
3024310015,3,2431,15,154,SOUTH 3 STREET,154 South 3 Street HDFC,372090,3063274,35,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,34,50,18,7,11211,551
3013680059,3,1368,59,1551,PARK PLACE,1551 Park Place HDFC,351601,3036319,24,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,36,55,25,9,11213,347
3026840002,3,2684,2,156,NASSAU AVENUE,156 NASSAU AVE HOUSING DEVELOPMENT FUND COMPANY IN,341445,3066922,6,COOP,2,Article 8A Loan,,,301,33,50,26,12,11222,571
3011510010,3,1151,10,156,ST MARKS AVENUE,156 Saint Marks Avenue HDFC,374576,3028393,7,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,35,57,20,9,11238,163
3027910012,3,2791,12,16,MAUJER STREET,16 Maujer Street HDFC,333517,3069654,16,COOP,2,Community Management Program (CMP),Kate Synak,,301,34,53,18,7,11206,513
3033060022,3,3306,22,160,BLEECKER STREET,160 Bleecker Street HDFC,210667,3075647,6,COOP,2,Community Management Program (CMP),Ron Sinacori,,304,37,53,18,7,11221,419
3013870059,3,1387,59,1611,LINCOLN PLACE,1611 Lincoln Place HDFC,326465,3037222,6,COOP,2,Urban Homesteading Program (UHP),Mark Matthews,,308,41,55,20,9,11233,359
3020160073,3,2016,73,163,LEFFERTS PLACE,163 Lefferts Place HDFC,323717,3057732,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,303,36,57,25,8,11238,227
3033060023,3,3306,23,164,BLEECKER STREET,164 Bleeker Street HDFC,210670,3075648,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,304,37,53,18,7,11221,419
3016680051,3,1668,51,164,RALPH AVENUE,164 Ralph Avenue HDFC,359874,3046670,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,303,41,56,25,8,11233,383
3024210040,3,2421,40,239,SOUTH 3 STREET,167-75 Havemeyer Street HDFC,372123,3063187,24,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,34,53,18,7,11211,523
3013810036,3,1381,36,1682-1700,STERLING PLACE,1682-1700 Sterling Place HDFC,376532,3036924,34,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,41,55,20,9,11233,359
3036600007,3,3660,7,17,PENNSYLVANIA AVENUE,17 Pennsylvania Avenue HDFC,353014,3083108,20,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,305,37,54,18,7,11207,1198
3025500006,3,2550,6,172,FRANKLIN STREET,172 Franklin Street HDFC,296125,3064543,8,COOP,2,Community Management Program (CMP),Mark Matthews,,301,33,50,26,12,11222,565
3024120004,3,2412,4,176,GRAND STREET EXTENSION,176 Grand Street HDFC,302948,3063040,30,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,34,53,18,7,11211,513
3016250045,3,1625,45,176,STUYVESANT AVENUE,176 Stuyvesant Avenue HDFC,378829,3044273,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,303,36,56,25,8,11221,291
3027600017,3,2760,17,184,CONSELYEA STREET,182-84 Conselyea Street HDFC,225584,3322899,3,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,34,50,18,12,11211,497
3018170036,3,1817,36,184,MONROE STREET,184 Monroe Street HDFC,338754,3051316,20,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,303,36,57,25,8,11216,245
3016140010,3,1614,10,184,VAN BUREN STREET,184 Van Buren Street HDFC,385692,3043697,3,COOP,1,Tenant Interim Lease (TIL),Mark Matthews,,303,36,56,25,8,11221,279
3013440103,3,1344,103,1890,PACIFIC STREET,1890 Pacific Street HDFC,349853,3035730,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,41,56,25,8,11233,307
3028840026,3,2884,26,19,KINGSLAND AVENUE,19 Kingsland Avenue HDFC,320714,3070195,6,COOP,2,Community Management Program (CMP),Kate Synak,,301,34,50,18,12,11211,477
3030310043,3,3031,43,19 FRONT,SCHOLES STREET,19 Scholes Street HDFC,368218,0,7,COOP,2,Community Management Program (CMP),Kate Synak,,301,34,53,18,7,11206,511
3019270039,3,1927,39,192,SKILLMAN STREET,192 Skillman Street HDFC,370753,3055206,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,303,33,57,25,8,11205,235
3024320027,3,2432,27,195,SOUTH 4 STREET,195 South 4 Street HDFC,372256,3330564,35,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,34,53,18,7,11211,523
3018420032,3,1842,32,2,ARLINGTON PLACE,2 Arlington Place HDFC,184824,3052963,3,COOP,1,Tenant Interim Lease (TIL),Mark Matthews,,303,36,57,25,8,11216,245
3054400010,3,5440,10,2,WEBSTER AVENUE,2 Webster Avenue HDFC,389348,3128757,30,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,312,44,48,17,10,11230,476
3026890056,3,2689,56,200,KINGSLAND AVENUE,200-202 Kingsland Avenue,320719,3067225,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,33,50,26,12,11222,591
3026890057,3,2689,57,202,KINGSLAND AVENUE,200-202 Kingsland Avenue,808652,3348004,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,33,50,26,12,11222,591
3013710008,3,1371,8,207,TROY AVENUE,207 Troy Avenue HDFC,382406,3036410,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,308,36,56,25,9,11213,345
3019800007,3,1980,7,211,ST JAMES PLACE,211 James Place HDFC,373447,3056686,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,302,35,57,25,8,11238,201
3051650072,3,5165,72,2146,CORTELYOU ROAD,2146 Cortelyou Road HDFC,226501,3118901,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,314,40,42,21,9,11226,792
3014330060,3,1433,60,2149,PACIFIC STREET,2149-53 Pacific Street HDFC,349984,3038582,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,316,41,55,25,8,11233,303
3026880034,3,2688,34,217,KINGSLAND AVENUE,217 Kingsland Avenue HDFC,320732,3067139,16,COOP,2,Community Management Program (CMP),Kate Synak,,301,33,50,26,12,11222,591
3014330028,3,1433,28,2170,ATLANTIC AVENUE,2170 Atlantic Avenue HDFC Who owns this now?,185926,3038567,35,RENTAL,2,Article 8A Loan,,,316,41,55,25,8,11233,303
3014330035,3,1433,35,2178,ATLANTIC AVENUE,2178 ATLANTIC AVE HDFC*% M GIRALDO,185928,3038569,16,RENTAL,2,,,,316,41,55,25,8,11233,303
3030450017,3,3045,17,204,BUSHWICK AVENUE,218 Scholes Street HDFC,807882,3071014,17,COOP,2,Community Management Program (CMP),Kate Synak,,301,34,53,18,7,11206,493
3014330047,3,1433,47,2181,PACIFIC STREET,2181 PACIFIC ST HOUSING DEVEL FUND CORP,349995,3038572,16,UNKNOWN,2,,,Sweat Equity,316,41,55,25,8,11233,303
3014330038,3,1433,38,2182,ATLANTIC AVENUE,2182 Atlantic Avenue HDFC,185930,3038570,16,COOP,2,Community Management Program (CMP),Mark Matthews,,316,41,55,25,8,11233,303
3015650008,3,1565,8,219,HOPKINSON AVENUE,219 Hopkinson Avenue HDFC,313703,3042498,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,316,41,55,25,8,11233,301
3022350035,3,2235,35,220,LEE AVENUE,220 Lee Avenue HDFC,323317,3061228,4,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,33,50,26,7,11206,531
3013280044,3,1328,44,430,ROGERS AVENUE,224 Lefferts Avenue HDFC,363822,3035282,14,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,309,40,43,20,9,11225,800
3024200035,3,2420,35,227,SOUTH 3 STREET,225 South 3 Street HDFC,372114,3063157,24,COOP,2,Community Management Program (CMP),Mark Matthews,,301,34,53,18,7,11211,523
3024080041,3,2408,41,227,SOUTH 2 STREET,227 South 2 Street HDFC,371982,3063013,22,COOP,2,Community Management Program (CMP),Mark Matthews,,301,34,53,18,7,11211,523
3042470029,3,4247,29,228,CRYSTAL STREET,228-232 Crystal Street HDFC,228739,3095359,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,305,42,60,18,8,11208,1196
3042470030,3,4247,30,232,CRYSTAL STREET,228-232 Crystal Street HDFC,228740,3095360,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,305,42,60,18,8,11208,1196
3022360005,3,2236,5,229,LEE AVENUE,229 Lee Avenue HDFC,323321,3061233,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,33,50,26,7,11206,531
3030540024,3,3054,24,230,BUSHWICK AVENUE,230 Bushwick Avenue HDFC,807884,3071162,9,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,34,53,18,7,11206,493
3022350038,3,2235,38,230,LEE AVENUE,230 Lee Avenue HDFC,323322,3061229,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,33,50,26,7,11206,531
3009590007,3,959,7,231,5 AVENUE,231 Fifth Avenue HDFC,130265,3020279,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,306,39,52,25,7,11215,133
3027900031,3,2790,31,231,MAUJER STREET,231 Maujer Street HDFC,333536,3069645,6,COOP,2,Community Management Program (CMP),Kate Synak,,301,34,53,18,7,11206,495
3034470034,3,3447,34,232,MOFFAT STREET,232 Moffat Street HDFC,338417,3080173,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,304,37,54,18,8,11207,411
3052090022,3,5209,22,2323,NEWKIRK AVENUE,2321-23 NEWKIRK AVE HSNG DEV FUND CORP,344320,3120306,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,314,40,42,21,9,11226,51601
3016460010,3,1646,10,233,STUYVESANT AVENUE,233 Stuyvesant Avenue HDFC,378861,3045199,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,303,36,56,25,8,11221,293
3037040029,3,3704,29,236,NEW JERSEY AVENUE,236-8 New Jersey Avenue HDFC,342330,3083672,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,305,37,55,18,8,11207,1144
3018340074,3,1834,74,237,HANCOCK STREET,237-39 Hankock Street HDFC,306886,3052408,10,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,303,36,56,25,8,11216,267
3034660020,3,3466,20,24,FURMAN AVENUE,24 Furman Avenue HDFC,298561,3080412,53,RENTAL,2,Community Management Program (CMP),,,304,37,55,18,8,11207,405
3003950013,3,395,13,24,ST MARKS PLACE,24 Saint Marks Place HDFC,375139,3006260,3,COOP,1,Tenant Interim Lease (TIL),Mark Matthews,,302,33,52,25,7,11217,127
3024210038,3,2421,38,241,SOUTH 3 STREET,241 South 3 Street HDFC,372126,3063186,22,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,34,53,18,7,11211,523
3052110044,3,5211,44,2416,NEWKIRK AVENUE,2416 Newkirk Avenue HDFC,344328,3120351,53,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,317,45,42,21,9,11226,790
3024200015,3,2420,15,242,SOUTH 2 STREET,242 South  2 Street HDFC,371994,3063150,35,COOP,2,Community Management Program (CMP),Ron Sinacori,,301,34,53,18,7,11211,523
3033840006,3,3384,6,463,WILSON AVENUE,246 Cornelia Street HDFC,396938,3077626,39,COOP,2,Community Management Program (CMP),Mark Matthews,,304,37,54,18,7,11221,435
3050720053,3,5072,53,25,STRATFORD ROAD,25 Stratford Road HDFC,242117,3116386,21,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,314,40,42,21,9,11218,506
3032780036,3,3278,36,251,HARMAN STREET,251 Harman Street HDFC,307978,3074789,6,RENTAL,2,Community Management Program (CMP),,,304,37,53,18,7,11237,431
3022340010,3,2234,10,252,HEYWARD STREET,252 Heyward Street HDFC,312203,3061217,4,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,33,50,26,7,11206,509
3024470010,3,2447,10,256,SOUTH 4 STREET,256 SOUTH 4TH ST HDFC,372277,3063468,34,COOP,2,Article 8A Loan,,,301,34,53,18,7,11211,525
3023220022,3,2322,22,26,HAVEMEYER STREET,26 Havmeyer Street HDFC,309155,3061996,11,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,33,50,18,12,11211,519
3031890021,3,3189,21,26,ST NICHOLAS AVENUE,26 ST NICHOLAS AVENUE HOUSING DEVELOPMENT,375314,3072617,6,COOP,2,Article 8A Loan,,,304,34,53,18,7,11237,447
